Date,Open,High,Low,Close,Adj Close,Volume
2011-11-30,5.400000,5.440000,5.180000,5.440000,4.684382,436268200
2011-12-01,5.370000,5.630000,5.290000,5.530000,4.761879,315495500
2011-12-02,5.670000,5.880000,5.610000,5.640000,4.856601,283132900
2011-12-05,5.860000,5.950000,5.730000,5.790000,4.985767,293977700
2011-12-06,5.740000,5.920000,5.700000,5.780000,4.977154,254787200
2011-12-07,5.730000,5.920000,5.700000,5.890000,5.071877,244700100
2011-12-08,5.840000,5.880000,5.530000,5.590000,4.813547,286031100
2011-12-09,5.670000,5.850000,5.630000,5.720000,4.925488,293654100
2011-12-12,5.590000,5.600000,5.400000,5.450000,4.692992,191824000
2011-12-13,5.560000,5.600000,5.220000,5.320000,4.581050,227194200
2011-12-14,5.240000,5.370000,5.200000,5.230000,4.503550,226723100
2011-12-15,5.330000,5.370000,5.210000,5.260000,4.529384,196092100
2011-12-16,5.310000,5.420000,5.160000,5.200000,4.477717,227111300
2011-12-19,5.200000,5.220000,4.920000,4.990000,4.296886,344317700
2011-12-20,5.110000,5.220000,5.040000,5.170000,4.451884,239246100
2011-12-21,5.180000,5.250000,5.100000,5.230000,4.503550,203711800
2011-12-22,5.260000,5.510000,5.210000,5.470000,4.710215,303085900
2011-12-23,5.540000,5.630000,5.470000,5.600000,4.822158,190712000
2011-12-27,5.550000,5.580000,5.460000,5.480000,4.718826,158575400
2011-12-28,5.450000,5.460000,5.270000,5.290000,4.555216,146104500
2011-12-29,5.290000,5.480000,5.280000,5.460000,4.701603,168098500
2011-12-30,5.390000,5.580000,5.370000,5.560000,4.787713,176441000
2012-01-03,5.750000,5.890000,5.740000,5.800000,4.994378,246293200
2012-01-04,5.710000,5.880000,5.620000,5.810000,5.002988,243711200
2012-01-05,5.750000,6.350000,5.710000,6.310000,5.433540,547780000
2012-01-06,6.210000,6.300000,6.060000,6.180000,5.321595,299630600
2012-01-09,6.260000,6.370000,6.190000,6.270000,5.399094,240614400
2012-01-10,6.440000,6.660000,6.440000,6.630000,5.709089,354292100
2012-01-11,6.600000,6.900000,6.520000,6.870000,5.915754,354039600
2012-01-12,6.990000,7.020000,6.660000,6.790000,5.846865,362099600
2012-01-13,6.490000,6.690000,6.410000,6.610000,5.691869,337048400
2012-01-17,6.630000,6.820000,6.440000,6.480000,5.579925,294196500
2012-01-18,6.500000,6.800000,6.460000,6.800000,5.855477,302497700
2012-01-19,7.210000,7.290000,6.750000,6.960000,5.993253,491008100
2012-01-20,6.950000,7.080000,6.830000,7.070000,6.087974,236630700
2012-01-23,7.130000,7.370000,7.110000,7.250000,6.242971,339942200
2012-01-24,7.110000,7.350000,7.060000,7.290000,6.277417,228810300
2012-01-25,7.200000,7.370000,7.150000,7.350000,6.329081,249340100
2012-01-26,7.450000,7.500000,7.230000,7.300000,6.286027,265938800
2012-01-27,7.210000,7.350000,7.200000,7.290000,6.277417,230914000
2012-01-30,7.130000,7.150000,7.020000,7.070000,6.087974,231240100
2012-01-31,7.170000,7.190000,7.050000,7.130000,6.139639,212736300
2012-02-01,7.250000,7.440000,7.210000,7.360000,6.337691,318811000
2012-02-02,7.430000,7.490000,7.330000,7.450000,6.415192,232425400
2012-02-03,7.660000,7.890000,7.630000,7.840000,6.751022,364195700
2012-02-06,7.790000,7.970000,7.770000,7.970000,6.862962,236316000
2012-02-07,7.950000,7.990000,7.800000,7.850000,6.759632,253694200
2012-02-08,7.960000,8.150000,7.930000,8.130000,7.000740,436439700
2012-02-09,8.310000,8.350000,8.100000,8.180000,7.043795,480206700
2012-02-10,8.050000,8.120000,7.980000,8.070000,6.949072,254420800
2012-02-13,8.270000,8.310000,8.210000,8.250000,7.104070,308490200
2012-02-14,8.150000,8.170000,7.950000,7.980000,6.871574,384682800
2012-02-15,8.010000,8.120000,7.770000,7.780000,6.699353,372981400
2012-02-16,7.710000,8.130000,7.660000,8.090000,6.966294,337131800
2012-02-17,8.040000,8.080000,7.920000,8.020000,6.906018,355445600
2012-02-21,8.030000,8.200000,8.000000,8.110000,6.983517,333407700
2012-02-22,8.060000,8.130000,7.950000,7.950000,6.845741,228867800
2012-02-23,7.970000,8.050000,7.900000,8.020000,6.906018,144231800
2012-02-24,8.050000,8.090000,7.880000,7.880000,6.785465,163128200
2012-02-27,7.790000,8.050000,7.670000,8.040000,6.923241,298930800
2012-02-28,8.050000,8.150000,8.000000,8.120000,6.992129,193443200
2012-02-29,8.160000,8.240000,7.970000,7.970000,6.871427,266720500
2012-03-01,8.090000,8.170000,8.050000,8.120000,7.000751,197850100
2012-03-02,8.110000,8.210000,8.100000,8.130000,7.009372,143887500
2012-03-05,8.090000,8.130000,7.950000,7.970000,6.871427,196328300
2012-03-06,7.780000,7.790000,7.660000,7.710000,6.647265,262871200
2012-03-07,7.810000,8.020000,7.770000,8.020000,6.914534,328331900
2012-03-08,8.070000,8.120000,8.000000,8.060000,6.949021,160282000
